
pl_name,pl_orbsmax,pl_rade,st_rad,sy_dist
K2-22 b,0.009000,2.300,0.58,243.8360000
K2-220 b,0.110400,2.390,1.02,233.5140000
K2-221 b,,1.679,0.95,318.8100000
K2-222 b,0.120600,2.350,1.11,101.3210000
K2-223 b,0.012700,0.890,1.00,198.6040000
K2-223 c,0.054900,1.500,1.00,198.6040000
K2-224 b,0.051600,1.560,0.84,275.2550000
K2-224 c,0.088600,2.410,0.84,275.2550000
K2-225 b,0.134000,3.490,1.70,357.7780000
K2-226 b,0.041300,1.540,0.91,211.2650000
K2-227 b,,1.666,0.89,187.2340000
K2-228 b,0.033800,1.210,0.65,129.4600000
K2-229 b,0.013100,1.000,0.79,102.5640000
K2-229 c,0.076900,2.030,0.79,102.5640000
K2-230 b,0.040900,1.960,1.39,540.7730000
K2-231 b,,2.500,0.95,321.2150000
K2-232 b,0.103560,11.209,1.16,130.7200000
K2-233 b,0.033080,1.343,0.71,67.5062000
K2-233 c,0.066660,1.281,0.71,67.5062000
K2-233 d,0.152240,2.358,0.71,67.5062000
K2-237 b,0.035580,16.197,1.26,314.9950000
K2-238 b,0.046000,14.572,1.59,537.9630000
K2-239 b,0.044100,1.100,0.36,31.0849000
K2-239 c,0.057600,1.000,0.36,31.0849000
K2-239 d,0.068500,1.100,0.36,31.0849000
K2-24 b,0.154000,5.400,1.16,170.5620000
K2-24 c,0.247000,7.500,1.16,170.5620000
K2-240 b,0.051300,2.000,0.54,72.9105000
K2-240 c,0.115900,1.800,0.54,72.9105000
K2-241 b,0.156700,2.550,0.75,149.4640000
K2-242 b,0.049400,2.540,0.37,109.2370000
K2-243 b,0.108700,2.170,1.39,266.8640000
K2-243 c,0.181700,2.010,1.39,266.8640000
K2-244 b,0.141800,1.750,0.92,212.9020000
K2-245 b,0.095900,4.340,1.25,456.0640000
K2-246 b,0.060200,3.490,0.94,703.6160000
K2-247 b,0.030400,2.120,0.69,258.1130000
K2-247 c,0.061500,2.190,0.69,258.1130000
K2-248 b,0.069900,2.570,0.92,406.2540000
K2-249 b,0.115100,2.790,1.57,521.7160000
K2-25 b,0.028700,3.440,0.29,44.9565000
K2-250 b,0.045900,2.440,0.81,414.7080000
K2-251 b,0.069400,2.350,0.49,147.0300000
K2-252 b,0.104100,1.740,0.82,228.8390000
K2-253 b,0.050600,12.670,1.10,876.5650000
K2-254 b,0.044800,1.630,0.67,227.7750000
K2-254 c,0.092300,2.190,0.67,227.7750000
K2-255 b,0.027400,2.900,0.69,191.6080000
K2-257 b,0.021600,0.830,0.50,64.0065000
K2-258 b,0.149000,3.000,1.31,661.8730000
K2-259 b,0.127100,2.320,1.13,416.4570000
K2-26 b,0.096200,2.670,0.52,99.0504000
K2-260 b,0.040400,17.396,1.69,663.8340000
K2-261 b,0.103400,9.528,1.64,213.2830000
K2-263 b,0.257300,2.410,0.85,162.4810000
K2-264 b,0.050230,2.231,0.47,185.6050000
K2-264 c,0.112830,2.668,0.47,185.6050000
K2-265 b,0.033760,1.710,0.98,138.6710000
K2-266 b,0.013060,3.300,0.70,77.5586000
K2-266 c,0.067900,0.705,0.70,77.5586000
K2-266 d,0.103500,2.930,0.70,77.5586000
K2-266 e,0.124900,2.730,0.70,77.5586000
K2-268 b,0.030800,1.500,0.78,327.7830000
K2-268 c,0.081900,2.690,0.78,327.7830000
K2-268 d,,1.490,0.78,327.7830000
K2-268 e,,1.330,0.78,327.7830000
K2-268 f,,2.230,0.78,327.7830000
K2-269 b,0.053100,1.570,1.45,360.7600000
K2-27 b,0.067020,4.480,0.89,249.6450000
K2-270 b,0.024700,1.380,0.77,280.5180000
K2-270 c,0.049700,2.950,0.77,280.5180000
K2-271 b,0.077000,7.280,0.99,564.4540000
K2-272 b,0.100700,3.130,0.83,423.0650000
K2-273 b,0.072900,3.050,0.85,308.1050000
K2-274 b,0.096400,2.080,0.70,228.3270000
K2-275 b,0.027700,2.340,0.69,123.4380000
K2-275 c,0.088100,2.210,0.69,123.4380000
K2-276 b,0.129100,3.770,0.85,488.1520000
K2-277 b,0.067500,2.070,0.97,113.1230000
K2-278 b,0.048800,2.980,1.61,786.4390000
K2-279 b,0.067000,1.210,0.86,182.9830000
K2-28 b,0.021400,2.320,0.29,62.9969000
K2-280 b,0.146100,7.500,1.28,391.5370000
K2-281 b,0.077300,8.180,0.76,458.1390000
K2-282 b,0.049900,2.500,1.00,496.2890000
K2-283 b,0.029100,3.520,0.82,402.9150000
K2-284 b,0.047710,2.780,0.61,107.2720000
K2-285 b,0.038170,2.590,0.79,154.9610000
K2-285 c,0.082400,3.530,0.79,154.9610000
K2-285 d,0.117800,2.480,0.79,154.9610000
K2-285 e,0.180410,1.950,0.79,154.9610000
K2-286 b,0.176800,2.100,0.62,76.1486000
K2-287 b,0.120600,9.494,1.07,158.3350000
K2-288 B b,0.164000,1.900,0.32,65.6138000
K2-289 b,0.107000,9.100,1.03,274.3000000
K2-29 b,0.042170,13.339,0.86,178.4750000
K2-290 b,0.092300,3.060,1.51,272.9090000
K2-290 c,0.305000,11.276,1.51,272.9090000
K2-291 b,0.032610,1.589,0.90,90.0562000
K2-292 b,0.130000,2.630,1.09,114.2930000
K2-293 b,,2.450,0.95,392.2510000
K2-294 b,,1.660,1.20,373.0780000
K2-295 b,0.045100,10.054,0.70,232.8010000
K2-3 b,0.074700,2.078,0.55,44.0727000
K2-3 c,0.135700,1.582,0.55,44.0727000
K2-3 d,0.201400,1.458,0.55,44.0727000
K2-30 b,0.048390,11.646,0.84,333.0420000
K2-308 b,,9.916,1.24,1314.5300000
K2-31 b,0.022000,11.882,0.78,110.5270000
K2-312 c,1.961000,12.800,1.22,109.8600000
K2-315 b,,0.950,0.20,56.9686000
K2-316 b,0.014700,1.330,0.38,112.4860000
K2-316 c,0.058200,1.830,0.38,112.4860000
K2-317 b,0.054200,2.930,0.38,176.2910000
K2-318 b,0.091100,1.660,0.55,147.8660000
K2-319 b,0.151600,2.790,0.90,209.0710000
K2-32 b,0.079500,5.299,0.86,157.6820000
K2-32 c,0.138430,3.134,0.86,157.6820000
K2-32 d,0.184220,3.484,0.86,157.6820000
K2-32 e,0.048990,1.212,0.86,157.6820000
K2-320 b,0.014200,2.620,0.30,108.7400000
K2-321 b,0.041000,1.950,0.58,77.6888000
K2-322 b,0.059400,1.920,0.60,123.4150000
K2-323 b,0.127500,2.100,0.55,118.3180000
K2-324 b,0.033100,2.430,0.51,136.6670000
K2-325 b,0.041900,2.200,0.30,111.6380000
K2-326 b,0.019800,2.280,0.69,282.3080000
K2-329 b,0.101600,8.676,0.82,233.2370000
K2-33 b,0.040900,5.040,1.05,139.2680000
K2-330 b,,2.770,1.50,160.1250000
K2-331 b,,1.790,1.06,211.4300000
K2-331 c,,2.720,1.06,211.4300000
K2-332 b,,2.200,0.28,123.2020000
K2-333 b,,6.180,1.22,343.9900000
K2-334 b,,5.650,1.49,371.8230000
K2-335 b,,2.210,1.33,557.9930000
K2-336 b,,1.220,0.80,239.2890000
K2-337 b,,2.620,1.32,421.6360000
K2-338 b,,1.030,0.63,156.9510000
K2-339 b,,1.920,0.72,360.3600000
K2-34 b,0.044200,13.750,1.42,348.6460000
K2-340 b,,3.360,1.13,738.1360000
K2-341 b,,3.210,1.16,421.4080000
K2-342 b,,2.030,1.09,208.3570000
K2-343 b,,1.650,0.46,166.1690000
K2-343 c,,2.020,0.46,166.1690000
K2-344 b,,1.590,0.49,75.1691000
K2-345 b,,2.110,0.52,162.4080000
K2-346 b,,2.260,0.70,105.5800000
K2-347 b,,2.410,0.63,320.3360000
K2-348 b,,3.260,0.85,201.8560000
K2-348 c,,2.670,0.85,201.8560000
K2-349 b,,1.380,0.49,453.5670000
K2-35 b,0.031000,1.320,0.62,252.5960000
K2-35 c,0.055000,1.930,0.62,252.5960000
K2-350 b,,1.540,1.04,489.3680000
K2-350 c,,2.740,1.04,489.3680000
K2-351 b,,2.540,1.05,694.7340000
K2-352 b,,1.370,0.95,176.0510000
K2-352 c,,1.920,0.95,176.0510000
K2-352 d,,2.230,0.95,176.0510000
K2-353 b,,5.550,0.99,268.5150000
K2-354 b,,1.560,0.41,91.7220000
K2-355 b,0.063200,2.250,0.92,500.4970000
K2-356 b,0.159900,2.290,0.86,355.5400000
K2-357 b,0.145000,3.720,1.00,517.6870000
K2-358 b,0.086300,2.680,0.91,480.3070000
K2-36 b,0.022880,1.430,0.72,109.7490000
K2-36 c,0.055280,3.200,0.72,109.7490000
K2-365 b,,2.906,1.05,187.2220000
K2-366 b,,2.359,0.94,185.9470000
K2-367 b,,2.413,0.62,176.9650000
K2-368 b,,1.332,0.66,206.6080000
K2-368 c,,1.361,0.66,206.6080000
K2-368 d,,1.948,0.66,206.6080000
K2-369 b,,1.313,0.88,185.5500000
K2-37 b,0.051100,1.610,0.85,179.9430000
K2-37 c,0.065400,2.750,0.85,179.9430000
K2-37 d,0.110300,2.730,0.85,179.9430000
K2-370 b,,3.207,0.97,144.2020000
K2-371 b,,13.024,0.74,442.8130000
K2-372 b,,2.945,0.92,463.8800000
K2-373 b,,2.061,1.49,229.5670000
K2-374 b,,1.593,0.91,359.4390000
K2-374 c,,2.213,0.91,359.4390000
K2-375 b,,2.243,1.54,696.1000000
K2-376 b,,1.736,1.15,161.6100000
K2-377 b,,1.693,0.69,195.1490000
K2-378 b,,2.880,0.73,687.9730000
K2-379 b,,2.181,0.75,182.2070000
K2-38 b,0.050300,1.655,1.14,192.6900000
K2-38 c,0.095900,2.490,1.14,192.6900000
K2-380 b,,2.729,1.32,249.3030000
K2-381 b,,1.075,0.68,145.7010000
K2-381 c,,2.000,0.68,145.7010000
K2-381 d,,1.689,0.68,145.7010000
K2-382 b,,2.072,0.81,278.4120000
K2-383 b,,1.564,0.80,203.7880000
K2-384 b,,1.076,0.35,82.6603000
K2-384 c,,1.191,0.35,82.6603000
K2-384 d,,1.392,0.35,82.6603000
K2-384 e,,1.345,0.35,82.6603000
K2-384 f,,2.222,0.35,82.6603000
K2-385 b,,1.539,0.76,420.8190000
K2-386 b,,2.320,0.97,428.7850000
K2-387 b,,7.322,0.59,266.3180000
K2-388 b,,3.660,0.90,290.4950000
K2-389 b,,2.184,1.08,259.2080000
K2-389 c,,2.040,1.08,259.2080000
K2-39 b,0.057080,6.277,2.97,307.4700000
K2-390 b,,4.662,0.97,456.1220000
K2-391 b,,1.371,0.57,507.9400000
K2-392 b,,1.850,1.06,406.9850000
K2-393 b,,2.352,1.07,265.9140000
K2-394 b,,1.692,0.63,98.0152000
K2-395 b,,2.597,0.78,286.7270000
K2-395 c,,3.395,0.78,286.7270000
K2-396 b,,1.579,0.92,274.8640000
K2-396 c,,3.124,0.92,274.8640000
K2-397 b,,2.417,0.97,199.3540000
K2-398 b,,2.274,1.24,606.9920000
K2-398 c,,5.098,1.24,606.9920000
K2-4 b,0.078000,2.100,0.57,231.8280000
K2-400 b,,1.163,0.38,62.3804000
K2-401 b,,2.262,0.68,200.7270000
K2-402 b,,2.678,1.28,523.0550000
K2-403 b,,5.333,0.89,246.5990000
K2-404 b,,2.530,0.55,121.6300000
K2-405 b,,4.569,0.77,197.2340000
K2-406 b,,4.602,0.96,85.3751000
K2-407 b,,1.283,0.93,218.3760000
K2-407 c,,1.360,0.93,218.3760000
K2-408 b,,1.677,0.78,162.3060000
K2-409 b,,2.482,1.23,431.0310000
K2-411 b,0.051100,0.990,1.38,298.2190000
K2-412 b,0.058600,2.116,0.98,654.0850000
K2-413 b,0.011700,0.760,0.70,285.1620000
K2-413 c,0.042600,1.233,0.70,285.1620000
K2-414 b,0.048700,1.219,0.73,260.0360000
K2-414 c,0.055200,1.929,0.73,260.0360000
K2-415 b,0.027000,1.015,0.20,21.8182000
K2-416 b,0.088000,2.660,0.55,120.3110000
K2-417 b,0.063000,3.310,0.58,94.0424000
K2-419 A b,0.120800,10.550,0.54,268.6850000
K2-42 b,0.061700,2.150,0.64,396.9130000
K2-43 b,0.037840,4.510,0.54,182.5360000
K2-43 c,,2.420,0.54,182.5360000
K2-44 b,0.060000,2.433,1.58,476.7030000
K2-45 b,0.022400,6.710,0.45,495.3170000
K2-46 b,0.138210,2.050,1.29,449.2370000
K2-47 b,0.177900,1.890,0.76,349.8810000
K2-48 b,0.134400,2.240,0.73,313.7640000
K2-49 b,0.030900,1.930,0.45,457.1250000
K2-5 b,0.053200,1.910,0.57,202.9430000
K2-5 c,0.081800,2.260,0.57,202.9430000
K2-50 b,0.070500,1.590,0.55,257.4430000
K2-52 b,0.054000,18.000,2.19,1038.4100000
K2-53 b,0.098000,2.600,0.81,138.0180000
K2-54 b,0.067100,1.150,0.38,174.9550000
K2-55 b,0.034860,3.820,0.63,159.5220000
K2-57 b,0.074600,2.100,0.62,264.2130000
K2-58 b,0.069200,2.680,0.86,181.7460000
K2-58 c,0.035000,1.620,0.86,181.7460000
K2-58 d,0.151700,1.710,0.86,181.7460000
K2-59 b,0.135400,2.410,0.73,311.3130000
K2-59 c,0.090500,2.300,0.73,311.3130000
K2-6 b,0.189800,2.500,0.96,316.8190000
K2-60 b,0.045000,7.656,1.12,491.8700000
K2-61 b,0.039200,2.480,1.36,405.7320000
K2-62 b,0.063600,2.140,0.73,112.4670000
K2-62 c,0.114800,2.140,0.73,112.4670000
K2-63 b,0.162700,3.220,1.63,517.5340000
K2-63 c,0.189000,3.900,1.63,517.5340000
K2-64 b,0.061900,2.070,0.73,499.8910000
K2-65 b,0.101400,1.580,0.84,72.2000000
K2-66 b,0.059830,2.490,1.67,513.8770000
K2-68 b,0.070800,1.580,0.68,168.6520000
K2-69 b,0.059100,2.320,0.49,180.6970000
K2-7 b,0.181400,2.670,0.96,738.5530000
K2-70 b,0.111200,2.890,0.93,232.9640000
K2-71 b,0.055900,2.150,0.43,153.1920000
K2-72 b,0.040000,1.080,0.33,66.4321000
K2-72 c,0.078000,1.160,0.33,66.4321000
K2-72 d,0.050000,1.010,0.33,66.4321000
K2-72 e,0.106000,1.290,0.33,66.4321000
K2-73 b,0.076190,2.450,1.06,269.1830000
K2-74 b,0.140200,2.310,0.98,377.8220000
K2-75 b,0.081000,2.670,1.56,561.9300000
K2-75 c,0.142900,2.770,1.56,561.9300000
K2-77 b,0.076000,2.300,0.76,141.7310000
K2-79 b,0.098800,4.090,1.27,256.0110000
K2-8 b,0.085600,3.580,0.74,403.5130000
K2-8 c,0.053200,2.410,0.74,403.5130000
K2-80 b,0.135000,2.010,0.87,200.8020000
K2-80 c,0.059600,1.470,0.87,200.8020000
K2-80 d,,2.552,0.84,200.8020000
K2-81 b,0.059000,1.970,0.63,252.3180000
K2-83 b,0.030140,1.244,0.42,125.5290000
K2-83 c,0.071310,1.483,0.42,125.5290000
K2-84 b,0.066500,2.410,0.93,284.8760000
K2-84 c,0.176800,2.030,0.93,284.8760000
K2-85 b,0.013000,1.200,0.68,97.2179000
K2-86 b,0.077000,1.960,0.76,258.6990000
K2-87 b,0.094000,7.600,1.40,491.2420000
K2-88 b,0.034500,1.230,0.26,110.5610000
K2-89 b,0.014620,0.615,0.32,86.0386000
K2-9 b,0.091000,2.250,0.31,82.9631000
K2-90 b,0.096000,2.600,0.62,134.1880000
K2-90 c,0.035000,1.300,0.63,134.1880000
K2-91 b,0.016400,1.100,0.28,62.5785000
K2-95 b,0.052500,3.310,0.40,179.8540000
K2-97 b,0.086000,10.610,4.47,878.4300000
K2-98 b,0.097400,5.200,1.57,518.6250000
K2-99 b,0.159700,11.730,2.63,519.2290000
KELT-1 b,0.024660,12.442,1.46,268.4300000
KELT-10 b,0.052500,15.681,1.21,188.4040000
KELT-11 b,0.062290,15.132,2.69,99.1596000
KELT-12 b,0.067080,19.952,2.37,368.0300000
KELT-14 b,0.030050,19.537,1.52,250.1210000
KELT-15 b,0.046130,19.504,1.78,324.6830000
KELT-16 b,0.020440,15.861,1.36,444.5860000
KELT-17 b,0.048810,17.094,1.65,226.5000000
KELT-18 b,0.045500,17.598,1.91,321.3760000
KELT-19 A b,0.063700,21.409,1.83,300.2760000
KELT-2 A b,0.054970,15.132,1.93,134.0580000
KELT-20 b,0.054200,19.515,1.57,136.4260000
KELT-21 b,0.052240,17.777,1.64,470.8780000
KELT-23 A b,0.033020,14.830,1.00,126.2610000
KELT-24 b,0.066500,12.711,1.34,96.5173000
KELT-3 b,0.041230,17.486,1.70,210.2520000
KELT-4 A b,0.043170,19.044,1.60,218.0500000
KELT-6 b,0.079390,14.572,1.73,240.7260000
KELT-6 c,2.390000,13.000,1.53,240.7260000
KELT-7 b,0.044150,17.934,1.81,136.6810000
KELT-8 b,0.045500,18.159,1.46,197.5720000
KELT-9 b,0.034620,21.196,2.36,204.4550000
KIC 10001893 b,,,0.18,1672.9400000
KIC 10001893 c,,,0.18,1672.9400000
KIC 10001893 d,,,0.18,1672.9400000
KIC 10068024 b,,13.400,1.57,721.1050000
KIC 10525077 b,,5.500,1.01,1461.1500000
KIC 3526061 b,5.140000,12.100,5.86,401.2290000
KIC 3558849 b,,6.900,1.01,1215.7000000
KIC 5437945 b,1.145500,6.400,1.24,1274.0100000
KIC 5479689 b,,14.200,0.89,454.9500000
KIC 7917485 b,,12.400,2.01,1382.8900000
KIC 8121913 b,,13.400,2.23,707.3030000
KIC 8540376 b,,4.100,1.26,1072.3000000
KIC 8540376 c,,2.400,1.26,1072.3000000
KIC 9663113 b,1.406200,4.600,1.03,1594.7400000
KMT-2016-BLG-0212L b,2.200000,12.200,,6300.0000000
KMT-2016-BLG-1105L b,2.440000,1.330,,5080.0000000
KMT-2016-BLG-1107L b,0.342000,13.100,,6651.0000000
KMT-2016-BLG-1397L b,5.100000,12.700,,6600.0000000
KMT-2016-BLG-1820L b,1.080000,12.900,,6260.0000000
KMT-2016-BLG-1836L b,3.500000,13.300,,7100.0000000
KMT-2016-BLG-2142L b,0.830000,12.200,,7010.0000000
KMT-2016-BLG-2364L b,2.630000,13.000,,6440.0000000
KMT-2016-BLG-2397L b,3.640000,13.200,,4880.0000000
KMT-2016-BLG-2605L b,0.681000,14.000,,6421.0000000
KMT-2017-BLG-0165L b,3.450000,6.450,,4530.0000000
KMT-2017-BLG-0428L b,1.810000,2.230,,5400.0000000
KMT-2017-BLG-0673L b,2.340000,13.000,,5080.0000000
KMT-2017-BLG-1003L b,1.380000,2.130,,7090.0000000
KMT-2017-BLG-1038L b,1.800000,13.400,,6000.0000000
KMT-2017-BLG-1146L b,1.600000,14.000,,6500.0000000
KMT-2017-BLG-1194L b,1.780000,1.700,,4240.0000000
KMT-2017-BLG-2509L b,2.140000,13.400,,7040.0000000
KMT-2018-BLG-0029L b,4.270000,2.670,,3380.0000000
KMT-2018-BLG-0030L b,4.390000,13.600,,6480.0000000
KMT-2018-BLG-0087L b,0.870000,10.100,,7020.0000000
KMT-2018-BLG-0247L b,2.460000,13.400,,6760.0000000
KMT-2018-BLG-0748L b,0.620000,9.010,,7300.0000000
KMT-2018-BLG-0885L b,1.070000,11.900,,6890.0000000
KMT-2018-BLG-1025L b,1.305000,2.340,,6705.0000000
KMT-2018-BLG-1292L b,6.030000,12.900,,3460.0000000
KMT-2018-BLG-1743L b,1.449000,10.500,,6483.0000000
KMT-2018-BLG-1976L b,3.540000,13.300,,5840.0000000
KMT-2018-BLG-1988L b,3.090000,2.220,,4150.0000000
KMT-2018-BLG-1990L b,0.763000,12.900,,967.0000000
KMT-2018-BLG-1996L b,4.270000,13.700,,5910.0000000
KMT-2018-BLG-2602L b,3.810000,13.700,,4310.0000000
KMT-2019-BLG-0253L b,3.100000,2.990,,4900.0000000
KMT-2019-BLG-0297L b,0.960000,12.100,,3090.0000000
KMT-2019-BLG-0298L b,5.670000,13.400,,6710.0000000
KMT-2019-BLG-0335L b,1.640000,12.100,,7710.0000000
KMT-2019-BLG-0371L b,0.790000,12.600,,7010.0000000
KMT-2019-BLG-0414L b,1.160000,12.900,,4410.0000000
KMT-2019-BLG-0842L b,3.310000,3.190,,3320.0000000
KMT-2019-BLG-0953L b,1.100000,4.060,,7200.0000000
KMT-2019-BLG-1042L b,1.700000,9.050,,6600.0000000
KMT-2019-BLG-1216L b,2.440000,5.980,,2740.0000000
KMT-2019-BLG-1339L b,2.150000,13.700,,6120.0000000
KMT-2019-BLG-1367L b,1.700000,1.850,,4670.0000000
KMT-2019-BLG-1552L b,2.600000,13.000,,4600.0000000
KMT-2019-BLG-1715L b,3.320000,13.200,,3860.0000000
KMT-2019-BLG-1806L b,3.020000,2.000,,6640.0000000
KMT-2019-BLG-1953L b,,14.100,,7040.0000000
KMT-2019-BLG-2783L b,1.850000,13.700,,5910.0000000
KMT-2019-BLG-2974L b,2.000000,11.400,,6100.0000000
KMT-2020-BLG-0414L b,1.260000,0.997,,800.0000000
KMT-2020-BLG-0414L c,0.120000,12.200,,800.0000000
KMT-2021-BLG-0119L b,2.920000,12.800,,3130.0000000
KMT-2021-BLG-0171L b,3.500000,3.350,,4600.0000000
KMT-2021-BLG-0192L b,1.620000,6.560,,5120.0000000
KMT-2021-BLG-0240L b,2.800000,9.600,,6600.0000000
KMT-2021-BLG-0320L b,1.540000,6.200,,6950.0000000
KMT-2021-BLG-0322L b,,12.700,,6600.0000000
KMT-2021-BLG-0712L b,2.220000,6.910,,3090.0000000
KMT-2021-BLG-0748L b,2.430000,14.300,,6090.0000000
KMT-2021-BLG-0909L b,1.750000,13.700,,6480.0000000
KMT-2021-BLG-0912L b,3.140000,1.490,,5560.0000000
KMT-2021-BLG-1077L b,1.260000,9.860,,8240.0000000
KMT-2021-BLG-1077L c,0.930000,10.600,,8240.0000000
KMT-2021-BLG-1105L b,3.540000,13.600,,4540.0000000
KMT-2021-BLG-1150L b,4.500000,13.900,,3800.0000000
KMT-2021-BLG-1253L b,1.520000,4.590,,6640.0000000
KMT-2021-BLG-1303L b,2.890000,13.600,,6280.0000000
KMT-2021-BLG-1372L b,2.370000,9.120,,5970.0000000
KMT-2021-BLG-1391L b,2.290000,1.970,,5720.0000000
KMT-2021-BLG-1547L b,4.500000,13.600,,5070.0000000
KMT-2021-BLG-1554L b,0.720000,6.900,,7680.0000000
KMT-2021-BLG-1689L b,2.500000,7.710,,7200.0000000
KMT-2021-BLG-1770L b,0.900000,12.100,,6920.0000000
KMT-2021-BLG-1898L b,1.900000,14.000,,6900.0000000
KMT-2021-BLG-2010L b,1.790000,13.800,,7090.0000000
KMT-2021-BLG-2294L b,1.150000,5.020,,6800.0000000
KMT-2021-BLG-2478L b,1.850000,13.900,,2970.0000000
KMT-2022-BLG-0371L b,3.020000,10.900,,7140.0000000
KMT-2022-BLG-0440L b,1.900000,4.050,,3500.0000000
KMT-2022-BLG-1013L b,1.380000,12.100,,7710.0000000
KMT-2023-BLG-0416L b,2.960000,3.670,,5900.0000000
KMT-2023-BLG-0469L b,2.310000,7.040,,7070.0000000
KMT-2023-BLG-0735L b,2.960000,6.970,,6390.0000000
KMT-2023-BLG-1431L b,3.200000,3.760,,6800.0000000
KMT-2023-BLG-1454L b,1.180000,14.100,,7220.0000000
KMT-2023-BLG-1642L b,1.410000,13.800,,6980.0000000
KOI-12 b,0.154000,13.787,1.40,399.3980000
KOI-1257 b,0.382000,10.540,1.13,656.0000000
KOI-13 b,0.036410,16.948,1.74,519.0960000
KOI-142 b,0.095822,3.438,0.90,376.8630000
KOI-142 c,0.154121,14.000,0.90,376.8630000
KOI-1599.01,0.147280,1.900,0.97,1131.6400000
KOI-1599.02,0.112293,1.900,0.97,1131.6400000
KOI-1783.01,0.513500,8.860,1.14,865.7300000
KOI-1783.02,0.845300,5.440,1.14,865.7300000
KOI-1831 d,0.194900,1.130,0.84,501.5740000
KOI-1833 d,0.063400,2.580,0.67,290.3240000
KOI-217 b,0.047700,12.442,0.86,914.6990000
KOI-2513.01,0.500000,2.802,1.20,1369.8700000
KOI-3503 b,0.146200,1.190,1.25,887.0640000
KOI-3503 c,0.191100,1.210,1.25,887.0640000
KOI-351 b,0.074000,1.310,1.20,848.2540000
KOI-351 c,0.089000,1.190,1.20,848.2540000
KOI-351 d,0.320000,2.870,1.20,848.2540000
KOI-351 e,0.420000,2.660,1.20,848.2540000
KOI-351 f,0.480000,2.880,1.20,848.2540000
KOI-351 g,0.710000,8.100,1.20,848.2540000
KOI-351 h,1.010000,11.300,1.20,848.2540000
KOI-3680 b,0.534000,11.097,0.96,921.9860000
KOI-4777.01,0.008000,0.510,0.40,172.2450000
KOI-55 b,0.006000,0.759,0.20,1231.0200000
KOI-55 c,0.007600,0.867,0.20,1231.0200000
KOI-7368 b,0.067800,2.220,0.87,264.9950000
KOI-7913 b,0.145600,2.340,0.79,271.2770000
KOI-94 b,0.051190,1.710,1.52,477.0520000
KOI-94 c,0.101300,4.320,1.52,477.0520000
KOI-94 d,0.168400,11.270,1.52,477.0520000
KOI-94 e,0.304600,6.560,1.52,477.0520000
KOI-984 b,0.050400,4.300,0.82,252.6670000
KOI-984 c,0.146700,14.100,0.82,252.6670000
KPS-1 b,0.026900,11.545,0.91,262.7060000
Kapteyn c,0.311000,2.540,0.29,3.9330500
Kepler-10 b,0.016850,1.470,1.06,185.5060000
Kepler-10 c,0.241000,2.355,1.06,185.5060000
Kepler-10 d,0.537900,3.610,1.06,185.5060000
Kepler-100 b,0.073063,1.320,1.49,304.6450000
Kepler-100 c,0.110537,2.200,1.49,304.6450000
Kepler-100 d,0.217335,1.610,1.49,304.6450000
Kepler-100 e,0.312392,5.270,1.51,304.6450000
Kepler-1000 b,0.533700,4.760,1.51,1115.6200000
Kepler-1001 b,0.112900,3.150,0.88,928.9780000
Kepler-1001 c,0.084000,1.578,0.84,928.9780000
Kepler-1002 b,0.056400,1.710,1.57,408.3030000
Kepler-1003 b,0.044400,1.780,1.17,941.9020000
Kepler-1004 b,0.067100,6.280,3.39,1152.6800000
Kepler-1005 b,0.066900,1.500,1.06,567.8060000
Kepler-1006 b,0.146400,1.540,0.74,1081.7380000
Kepler-1007 b,0.048000,1.440,0.70,365.0000000
Kepler-1008 b,0.095100,1.280,0.78,282.5650000
Kepler-1009 b,0.079600,2.170,0.57,355.0190000
Kepler-101 b,0.047400,5.770,1.56,927.9810000
Kepler-101 c,0.068400,1.250,1.56,927.9810000
Kepler-1010 b,0.193000,2.320,0.82,579.2730000
Kepler-1011 b,0.063300,2.870,0.88,736.7790000
Kepler-1012 b,0.058500,1.290,0.91,411.0770000
Kepler-1013 b,0.137000,2.150,0.76,422.2460000
Kepler-1014 b,0.121000,2.390,0.84,624.8000000
Kepler-1015 b,0.139600,3.550,1.81,739.3570000
Kepler-1016 b,0.030700,2.180,1.00,1402.8200000
Kepler-1016 c,0.438900,3.680,1.00,1402.8200000
Kepler-1017 b,0.070200,1.990,0.87,552.0580000
Kepler-1018 b,0.253000,2.580,0.88,1010.0100000
Kepler-1019 b,0.022100,1.460,0.67,194.1820000
Kepler-102 b,0.055210,0.460,0.72,107.7960000
Kepler-102 c,0.067020,0.567,0.72,107.7960000
Kepler-102 d,0.086180,1.154,0.72,107.7960000
Kepler-102 e,0.116200,2.170,0.72,107.7960000
Kepler-102 f,0.165600,0.861,0.72,107.7960000
Kepler-1020 b,0.387800,2.280,0.80,415.3580000
Kepler-1021 b,0.103400,2.330,0.86,810.0820000
Kepler-1022 b,0.080500,2.360,0.68,420.0420000
Kepler-1023 b,0.301000,2.630,0.89,694.1750000
Kepler-1024 b,0.303300,3.910,0.78,1087.4000000
Kepler-1025 b,0.334400,1.980,1.13,803.7760000
Kepler-1026 b,0.197700,2.210,0.75,351.2390000
Kepler-1027 b,0.029500,0.890,0.82,405.1040000
Kepler-1028 b,0.035400,1.330,0.87,607.9160000
Kepler-1029 b,0.047000,1.260,0.77,366.6560000
Kepler-103 b,0.132230,3.486,1.49,494.8320000
Kepler-103 c,0.663900,5.450,1.49,494.8320000
